Ergebnisübersicht:

Kreuzungs-ID: 9; Kreuzungs-Name: Ampel9
Daten der vorgelagerten WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0,0;0;0,0;0,0;0,0
1;Vorgelagert-Ost ;0;0,08;2;28,0;0,1;0,0
2;Vorgelagert-Süd ;0;0,0;0;0,0;0,0;0,0
3;Vorgelagert-West;1001;381,28;1001;71,0;3175,71;84,06

Daten der WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung
0;Nord: Rechts;0;0,0;0;0,0;0,0
1;Nord: Gerade;0;0,0;0;0,0;0,0
2;Nord: Links;0;0,0;0;0,0;0,0
3;Ost: Rechts;0;0,0;0;0,0;0,0
4;Ost: Gerade;0;0,26;3;21,0;9,42
5;Ost: Links;0;0,03;1;14,0;0,89
6;Süd: Rechts;0;0,38;4;41,0;12,42
7;Süd: Gerade;0;0,0;0;0,0;0,0
8;Süd: Links;0;0,14;2;15,0;3,89
9;West: Rechts;0;1,33;3;90,0;55,18
10;West: Gerade;5;3,28;6;82,0;112,04
11;West: Links;0;0,0;0;0,0;0,0



Kreuzungs-ID: 10; Kreuzungs-Name: Ampel10
Daten der vorgelagerten WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;16;3,05;16;0,0;20,03;0,0
1;Vorgelagert-Ost ;0;0,16;3;15,0;0,7;0,0
2;Vorgelagert-Süd ;0;0,0;0;0,0;0,0;0,0
3;Vorgelagert-West;17;2,35;17;13,0;15,76;2,23

Daten der WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung
0;Nord: Rechts;0;0,19;1;18,0;5,28
1;Nord: Gerade;0;0,0;0;0,0;0,0
2;Nord: Links;5;1,23;5;47,0;24,51
3;Ost: Rechts;0;0,15;1;19,0;3,93
4;Ost: Gerade;0;0,58;4;24,0;17,85
5;Ost: Links;0;0,0;0;0,0;0,0
6;Süd: Rechts;0;0,0;0;0,0;0,0
7;Süd: Gerade;0;0,0;0;0,0;0,0
8;Süd: Links;0;0,0;0;0,0;0,0
9;West: Rechts;0;0,0;0;0,0;0,0
10;West: Gerade;3;1,83;4;21,0;65,75
11;West: Links;0;0,57;2;24,0;12,97



Kreuzungs-ID: 11; Kreuzungs-Name: Ampel11
Daten der vorgelagerten WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0,0;0;0,0;0,0;0,0
1;Vorgelagert-Ost ;0;0,0;0;0,0;0,0;0,0
2;Vorgelagert-Süd ;0;0,0;0;0,0;0,0;0,0
3;Vorgelagert-West;64;28,88;68;175,0;49,81;8,85

Daten der WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung
0;Nord: Rechts;0;0,0;0;0,0;0,0
1;Nord: Gerade;0;0,0;0;0,0;0,0
2;Nord: Links;0;0,0;0;0,0;0,0
3;Ost: Rechts;0;0,0;0;0,0;0,0
4;Ost: Gerade;0;0,3;3;20,0;10,67
5;Ost: Links;0;0,06;1;34,0;1,17
6;Süd: Rechts;0;0,23;4;21,0;7,1
7;Süd: Gerade;0;0,0;0;0,0;0,0
8;Süd: Links;0;0,13;2;16,0;4,26
9;West: Rechts;0;1,41;3;184,0;44,41
10;West: Gerade;4;3,45;5;191,0;113,77
11;West: Links;0;0,0;0;0,0;0,0



Kreuzungs-ID: 12; Kreuzungs-Name: Ampel12
Daten der vorgelagerten WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0,0;0;0,0;0,0;0,0
1;Vorgelagert-Ost ;0;0,03;2;8,0;0,24;0,0
2;Vorgelagert-Süd ;0;0,0;0;0,0;0,0;0,0
3;Vorgelagert-West;62;7,07;62;9,0;12,55;0,28

